ID2,ID1,B,C,D,E,F,treatment,stealfriend,phonefriend,interruptfriend,insultfriend,onlinefriend,stealapp,stealnoth,stealremark,stealtalk,stealavoid,stealphyspunapp,phoneapp,phoneremark,phoneavoid,phonenoth,phonetalk,interruptapp,interruptnoth,interrupttalk,interruptremark,interruptavoid,insultapp,insultremark,insultavoid,insultnoth,insulttalk,onlineapp,onlineavoid,onlinetalk,onlinenothing,onlineremark,Answer,Course,Section,Group,Sex,in_degree_1p,in_degree_2p,in_degree_1n,in_degree_2n,out_degree_1p,out_degree_2p,out_degree_1n,out_degree_2n,+2+2,+2+1,+2+0,+2-1,+2-2,+1+2,+1+1,+1+0,+1-1,+1-2,+0+2,+0+1,+0+0,+0-1,+0-2,-1+2,-1+1,-1+0,-1-1,-1-2,-2+2,-2+1,-2+0,-2-1,-2-2,+2-3,+1-3,+0-3,-1-3,-2-3,-3+2,-3+1,-3+0,-3-1,-3-2,-3-3,outlier_type,outlier,BC+I,BC+II,BC-,CC+I(in),CC+II(in),CC-(in),CC+I(out),CC+II(out),CC-(out),EC+I(in),EC+II(in),EC-(in),EC+I(out),EC+II(out),EC-(out),PC+I(in),PC+II(in),PC-(in),PC+I(out),PC+II(out),PC-(out),C+I(in),C+II(in),C-(in),C+I(out),C+II(out),C-(out),ES+I,ES+II,ES-,E+I,E+II,E-,TB+I,r+I,tb+I,TB-I,r-I,tb-I,r0I,TB+II,r+II,tb+II,TB-II,r-II,tb-II,r0II
191,16401,2743,4º ESO,B,H,2024,2,1,0,1,0,0,1,1,3,4,4,2,1,4,3,2,3,0,2,4,4,3,0,5,4,2,3,3,2,3,2,4,1,4,1,402,1,27,7,1,2,8,4,0,0,3,1,0,0,0,1,4,3,0,0,3,22,484,1,2,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0000,0,0.002148271197834968,4.227846434212117e-4,0,0.2002125987891113,0.1608042318381564,0.02328552698472159,0.21241230203187,0.1599564132610924,0,0.1090883991383799,0.001427547595607426,2.770587020703264e-6,0.03424221726799034,5.133300574363388e-5,2.601397488014521e-19,0.003139288770414657,0.002035719647325131,0.001667779689117514,0.001085600839680402,7.796777576586979e-4,5.762897829377713e-4,0.05961443222433375,0.2964277335107731,NA,0.05961443222433375,0.2964277335107731,0.5,25.18581081081082,4.299999999999999,NA,0.7632063882063884,0.6142857142857141,NA,137,43,3.186046511627907,-2092,638,-3.278996865203762,315725,6,6,1,-99,53,-1.867924528301887,316347
192,16386,2743,4º ESO,A,M,2024,2,1,0,1,0,0,1,0,4,3,5,3,5,4,0,5,0,0,1,4,5,2,0,5,4,2,4,3,5,2,3,4,1,4,1,401,0,23,2,2,0,43,8,1,0,1,4,3,0,0,1,17,24,0,0,0,2,470,2,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1,0,0,0,0,0,0,0,0000,0,0.00324931329393173,0.006736578433065387,3.171763690917972e-6,0.1783957967995553,0.1312727257091998,0.001779359430604982,0.2177163938500673,0.1843755295712591,0.001779359430604982,0.08739236731756343,2.274392343896611e-4,-3.91333128318699e-18,0.1924030334451652,1.850190940580808e-4,-6.023388913200701e-18,0.002280732314678442,7.903132919868551e-4,0.00137629407094229,0.004358503171389408,0.002460375699441205,6.987756605654568e-4,0.0508304154819189,0.1788606575963719,0.5,0.0508304154819189,0.1788606575963719,0.5,41.92321428571428,7.400000000000001,2,0.7910040431266845,0.8222222222222224,1,1065,564,1.888297872340426,-8692,3365,-2.583060921248143,312477,8,8,1,-334,183,-1.825136612021858,316215
193,16316,2743,3º ESO,A,M,2024,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,301,0,9,4,12,8,9,5,24,9,2,0,2,0,0,1,3,5,0,0,1,6,461,8,5,0,0,19,3,1,0,0,4,1,2,1,0,34,1,2,0,0,0,0,0,0,0100,1,0,0,0,0.1867424310162914,0.1524558142308992,0.08322155306141071,0,0,0,0.005786963228764357,0.00395998235557089,0.1248328154602747,1.453912643753822e-18,-5.111178252402598e-19,-1.759400350077637e-20,0.001265988832369858,0.001109924407701872,0.00766315065937138,2.672367717797969e-4,2.787199536688574e-4,5.762897829377713e-4,NA,NA,NA,0.1354608274934768,0.4783329120803489,0.06840162265942526,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,316406,0,0,NA,0,0,NA,316406
194,16404,2743,4º ESO,B,H,2024,2,1,0,1,0,0,0,2,3,3,3,2,2,2,1,5,2,0,3,3,4,2,2,2,2,3,2,4,3,2,3,3,1,4,1,402,1,16,7,2,1,13,10,0,0,5,4,1,0,0,2,5,4,1,0,0,7,493,1,1,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0000,0,0.002028358440765258,0.001306333656483408,0,0.1879090312657581,0.1518165709995077,0.04452032889074965,0.1970364115246195,0.149680645950971,0,0.0714160947991975,0.001754835550571382,0.01693061470284811,0.06536577942479338,2.327146430140964e-5,-2.134406105977199e-18,0.002541605693150428,0.002172646243003477,0.001523270955986474,0.001870810876044371,0.002693347173890331,5.762897829377713e-4,0.0901933010468137,0.2525900342564215,NA,0.0901933010468137,0.2525900342564215,0.3333333333333333,17.63028169014084,7.235294117647058,NA,0.62965291750503,0.6029411764705882,NA,742,254,2.921259842519685,-2610,749,-3.484646194926569,315403,31,31,1,-254,132,-1.924242424242424,316243
195,16118,2744,4º ESO,A,M,2024,1,0,1,0,1,1,0,2,3,3,3,2,0,3,3,2,2,1,2,3,2,3,0,2,2,3,3,1,3,3,2,3,1,4,1,401,0,14,2,0,0,21,8,6,0,2,6,0,0,0,0,5,16,0,0,0,2,488,0,0,0,1,4,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0000,0,0.001814403203078621,0.002349314199887102,0,0.1786542165921186,0.137473714861216,0,0.2069759337677012,0.1628251429979951,0.03823259536293318,0.04375106086622324,2.615870839215135e-4,-2.389706531800458e-18,0.1002358889930995,3.345264348432161e-5,1.265864696713572e-10,0.001360034542556197,8.430600873557387e-4,9.657542999097044e-4,0.002471878529618197,0.00395171815447498,0.003605788981083674,0.07224298550609178,0.2152572868042847,0.1666666666666667,0.07224298550609178,0.2152572868042847,NA,22.94551282051282,6.15,6,0.71704727564102555,0.76875,1,697,278,2.507194244604317,-4765,1798,-2.650166852057842,314330,18,18,1,-479,305,-1.570491803278689,316083
196,16124,2744,4º ESO,B,H,2024,1,0,1,0,1,1,1,2,3,3,5,0,2,2,4,3,2,2,1,3,2,5,1,2,5,1,2,4,5,3,1,2,1,4,1,402,1,13,9,1,0,8,4,0,0,3,0,1,0,0,1,4,3,0,0,5,9,497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0000,0,0.002429198305104209,0.005937466425826501,0,0.1982812875467726,0.1724604116063191,0,0.1785051559301735,0.1412869633634333,0,0.05866584444378891,0.01010463654177653,-5.77892426657292e-19,0.03797127042955364,8.972266789811356e-6,1.504800580847432e-20,0.002029621361570619,0.002472946541140189,9.657542999097044e-4,0.001118851117971532,0.001530854338116938,5.762897829377713e-4,0.1038362812844368,0.2810733978927032,NA,0.1038362812844368,0.2810733978927032,NA,14.5,5.499999999999999,NA,0.6041666666666667,0.5499999999999999,0,193,82,2.353658536585366,-1339,422,-3.172985781990521,315902,6,6,1,-97,51,-1.901960784313725,316349
197,16390,2743,4º ESO,A,H,2024,2,1,0,1,0,0,0,1,4,1,3,2,0,2,4,2,2,3,3,3,1,2,1,2,4,3,4,0,2,3,2,3,1,4,1,401,1,15,7,0,0,8,5,2,0,4,0,1,0,0,3,4,1,0,0,0,10,499,0,0,0,1,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0000,0,2.749938696133033e-4,2.273718083277984e-4,0,0.1839845263860157,0.1451247452965018,0,0.1923499198337547,0.1434422534610504,0.003558718861209964,0.05940343088901881,0.001021550173059597,-5.231580426769475e-18,0.05868491638050744,1.993790388201517e-5,8.125841973745282e-19,0.002020887821617949,0.001835710455800103,9.657542999097044e-4,0.001404767504051256,0.00239402114893189,0.001311205048703885,0.1069739825982476,0.3237977224085704,0.5,0.1069739825982476,0.3237977224085704,NA,12.33035714285714,3.125000000000001,2,0.5361024844720498,0.3906250000000001,1,369,117,3.153846153846154,-1696,570,-2.975438596491228,315719,16,16,1,-176,102,-1.725490196078431,316288
198,16330,2743,3º ESO,B,H,2024,2,1,0,1,0,0,1,2,3,1,3,3,2,2,2,3,2,2,3,2,3,2,1,4,3,3,2,2,3,2,3,3,1,3,1,302,1,20,4,2,2,39,0,0,0,0,0,0,0,0,4,12,19,2,0,0,8,477,0,2,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,0,0,0,0000,0,0.008219177948912972,0,0,0.2003209975973349,0.16341072303791,0.03318689559213008,0.239488033235074,0,0,0.02376311061369228,0.001924616370018164,2.794581237145415e-4,0.09410002986178062,4.209989193211561e-18,1.398851673090268e-19,0.001851633732279333,0.001766797687610108,0.002762839182782474,0.003814156481576478,2.787199536688574e-4,5.762897829377713e-4,0.04687488682735279,NA,NA,0.04687488682735279,0.3655319276147959,0.3539238920420239,36.66447368421053,NA,NA,0.8332834928229667,NA,NA,319,236,1.351694915254237,-5763,2608,-2.209739263803681,313562,0,0,NA,0,0,NA,316406
199,16114,2744,4º ESO,A,H,2024,1,0,1,0,1,1,1,2,4,3,4,3,2,0,3,3,2,1,2,3,4,4,0,4,5,2,4,3,4,3,3,2,1,4,1,401,1,20,6,1,0,24,12,0,0,6,4,2,0,0,0,14,8,0,0,0,2,487,1,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,0,0,0,0000,0,0.006612606003513784,0.001096626766439125,0,0.1908163396401638,0.1450601592950347,0.001779359430604982,0.2238295697704462,0.1505795002732388,0,0.07332104486926128,9.999712245068943e-4,1.930912074269886e-17,0.1194952352039594,3.614068148602882e-5,2.210962593063209e-18,0.00225807247440608,0.001927321549822434,0.001239447480598095,0.003376562515865688,0.003618795442072527,5.762897829377713e-4,0.06862618124822016,0.2362949186933326,NA,0.06862618124822016,0.2362949186933326,1,26.41176470588236,7.305555555555554,NA,0.713831478537361,0.6087962962962962,NA,1212,422,2.872037914691943,-5157,1693,-3.046072061429415,314291,45,45,1,-382,199,-1.919597989949749,316162
200,16117,2744,4º ESO,A,M,2024,1,0,1,0,1,1,0,1,3,1,1,4,2,2,0,3,1,0,3,2,3,0,0,2,2,3,2,0,0,2,2,2,1,4,1,401,0,6,1,2,0,8,1,0,0,0,1,0,0,0,1,4,2,1,0,0,1,513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0000,0,0,0,0,0.1508943240466059,0.1252209673207619,0.003558718861209964,0.173671682987153,0.1322392045342833,0,0.01424917522318665,6.156826334816552e-5,1.596436663303641e-17,0.03732135682709611,2.572620856939555e-6,3.514095577703317e-19,8.302097960050336e-4,6.808909523209413e-4,0.001513140661286485,0.001369514045204554,6.408291041582626e-4,5.762897829377713e-4,0.1719659999009655,0.6530612244897959,NA,0.1719659999009655,0.6530612244897959,0.5,4.732142857142859,1,NA,0.4732142857142859,0.5,NA,110,53,2.075471698113208,-691,291,-2.374570446735395,316062,0,0,NA,-32,18,-1.777777777777778,316388
